,size,efficient_time,basic_time,efficient_space,basic_space
0,16,0.0009996891021728516,0.0,0,0
0,24,0.0,0.000997781753540039,0,0
0,32,0.001995563507080078,0.000997781753540039,0,8192
0,48,0.001995086669921875,0.001996755599975586,0,163840
0,64,0.0019989013671875,0.000997781753540039,0,36864
0,96,0.008973836898803711,0.003989458084106445,4096,81920
0,128,0.009971857070922852,0.004984617233276367,8192,1392640
0,192,0.0309145450592041,0.017990827560424805,8192,327680
0,256,0.04587674140930176,0.016922950744628906,12288,638976
0,288,0.016966819763183594,0.011939764022827148,69632,339968
0,320,0.041886091232299805,0.01695418357849121,8192,630784
0,384,0.16521096229553223,0.08377647399902344,32768,1335296
0,512,0.14361333847045898,0.07579922676086426,36864,1802240
0,528,0.017952680587768555,0.008976459503173828,143360,249856
0,544,0.06784725189208984,0.04684877395629883,233472,450560
0,640,0.19348430633544922,0.0857696533203125,143360,1642496
0,768,0.9085583686828613,0.1874985694885254,147456,1257472
0,1024,0.7719357013702393,0.40192484855651855,69632,1265664
0,1280,1.184830665588379,0.7091093063354492,630784,1363968
0,1536,2.1362857818603516,0.7849011421203613,69632,1236992
0,2048,4.067160367965698,1.8151137828826904,454656,1880064
